Ligne	Composant	C8	Occurrences	Nature	Detail
3	OrigamAlert	conforme	0		
4	OrigamApp	conforme	0		
5	OrigamAppBar	conforme	0		
6	OrigamAudio	conforme	0		
7	OrigamAvatar	conforme	0		
8	OrigamAvatarGroup	conforme	0		
9	OrigamBadge	conforme	0		
10	OrigamBlockquote	conforme	0		
11	OrigamBottomNav	conforme	0		
12	OrigamBracket	defaut	2	withDefaults	l.296: winnersLabel: 'Winners bracket' | l.297: losersLabel: 'Losers bracket'
13	OrigamBracketCompetitor	defaut	1	bound-literal-attr	l.25: :alt="`${competitor.name} avatar`"
14	OrigamBracketMatch	conforme	0		
15	OrigamBracketRound	conforme	0		
16	OrigamBreadcrumb	conforme	0		
17	OrigamBreadcrumbDivider	conforme	0		
18	OrigamBreadcrumbItem	conforme	0		
19	OrigamBtn	conforme	0		
20	OrigamBtnGroup	conforme	0		
21	OrigamBtnToggle	conforme	0		
22	OrigamCalendar	conforme	0		
23	OrigamCard	conforme	0		
24	OrigamCardHeader	conforme	0		
25	OrigamCardText	conforme	0		
26	OrigamCarousel	conforme	0		
27	OrigamCarouselItem	conforme	0		
28	OrigamChart	conforme	0		
29	OrigamChartAxis	conforme	0		
30	OrigamChartBoxPlot	conforme	0		
31	OrigamChartBullet	conforme	0		
32	OrigamChartCandlestick	conforme	0		
33	OrigamChartCartesian	defaut	1	template-text	l.317: Reset zoom
34	OrigamChartGauge	conforme	0		
35	OrigamChartHeatmap	conforme	0		
36	OrigamChartHoneycomb	conforme	0		
37	OrigamChartLegend	conforme	0		
38	OrigamChartMap	conforme	0		
39	OrigamChartPareto	conforme	0		
40	OrigamChartPictorial	conforme	0		
41	OrigamChartPolar	conforme	0		
42	OrigamChartPolarBar	conforme	0		
43	OrigamChartPyramid	conforme	0		
44	OrigamChartRadar	conforme	0		
45	OrigamChartRangeSelector	conforme	0		
46	OrigamChartSankey	defaut	1	bound-literal-attr	l.69: :aria-label="`${ link.from } to ${ link.to }: ${ link.formatted }`"
47	OrigamChartSparkline	conforme	0		
48	OrigamChartStreamgraph	conforme	0		
49	OrigamChartSunburst	conforme	0		
50	OrigamChartTooltip	conforme	0		
51	OrigamChartTreemap	conforme	0		
52	OrigamChartVariwide	conforme	0		
53	OrigamChartWordCloud	conforme	0		
54	OrigamCheckbox	conforme	0		
55	OrigamCheckboxBtn	conforme	0		
56	OrigamChip	conforme	0		
57	OrigamChipGroup	conforme	0		
58	OrigamClientOnly	conforme	0		
59	OrigamClipboard	conforme	0		
60	OrigamCode	conforme	0		
61	OrigamColorPicker	conforme	0		
62	OrigamColorPickerCanvas	conforme	0		
63	OrigamColorPickerEdit	conforme	0		
64	OrigamColorPickerPreview	conforme	0		
65	OrigamColorPickerSwatches	conforme	0		
66	OrigamColorPickerField	conforme	0		
67	OrigamCommandPalette	defaut	2	withDefaults	l.208: placeholder: 'Search…' | l.209: emptyText: 'No results'
68	OrigamConfirmWrapper	conforme	0		
69	OrigamContextualMenu	conforme	0		
70	OrigamCounter	conforme	0		
71	OrigamDataList	conforme	0		
72	OrigamDataText	conforme	0		
73	OrigamDataTitle	conforme	0		
74	OrigamDataTable	conforme	0		
75	OrigamDataTableColumnCell	conforme	0		
76	OrigamDataTableFooter	conforme	0		
77	OrigamDataTableGroupHeaderRow	conforme	0		
78	OrigamDataTableHeaderCell	conforme	0		
79	OrigamDataTableHeaders	conforme	0		
80	OrigamDataTableHeadersCell	conforme	0		
81	OrigamDataTableHeadersCellMobile	conforme	0		
82	OrigamDataTableRow	conforme	0		
83	OrigamDataTableRows	conforme	0		
84	OrigamDatePicker	conforme	0		
85	OrigamDatePickerControls	conforme	0		
86	OrigamDatePickerHeader	conforme	0		
87	OrigamDatePickerMonth	conforme	0		
88	OrigamDatePickerMonths	conforme	0		
89	OrigamDatePickerYears	conforme	0		
90	OrigamDatePickerField	conforme	0		
91	OrigamDefaultsProvider	conforme	0		
92	OrigamDialog	conforme	0		
93	OrigamDialogConfirmation	conforme	0		
94	OrigamDivider	conforme	0		
95	OrigamDrawer	defaut	1	bound-literal-attr	l.13: :aria-label="name || 'Navigation'"
96	OrigamEmptyState	conforme	0		
97	OrigamExpansionPanel	conforme	0		
98	OrigamExpansionPanelContent	conforme	0		
99	OrigamExpansionPanelHeader	conforme	0		
100	OrigamExpansionPanels	conforme	0		
101	OrigamField	conforme	0		
102	OrigamFileField	conforme	0		
103	OrigamFileFieldDragNDropItem	conforme	0		
104	OrigamFileFieldListItem	conforme	0		
105	OrigamForm	conforme	0		
106	OrigamGrid	conforme	0		
107	OrigamGridItem	conforme	0		
108	OrigamCol	conforme	0		
109	OrigamContainer	conforme	0		
110	OrigamRow	conforme	0		
111	OrigamSpacer	conforme	0		
112	OrigamClassIcon	conforme	0		
113	OrigamComponentIcon	conforme	0		
114	OrigamIcon	conforme	0		
115	OrigamLigatureIcon	conforme	0		
116	OrigamSvgIcon	conforme	0		
117	OrigamImg	conforme	0		
118	OrigamInfiniteScroll	conforme	0		
119	OrigamInfiniteScrollIntersect	conforme	0		
120	OrigamInlineEdit	defaut	1	withDefaults	l.230: placeholder: 'Click to edit'
121	OrigamInput	conforme	0		
122	OrigamItemGroupItem	conforme	0		
123	OrigamItemGroup	conforme	0		
124	OrigamKbd	conforme	0		
125	OrigamLabel	conforme	0		
126	OrigamLayout	conforme	0		
127	OrigamLazy	conforme	0		
128	OrigamList	conforme	0		
129	OrigamListChildren	conforme	0		
130	OrigamListGroup	conforme	0		
131	OrigamListGroupActivator	conforme	0		
132	OrigamListItem	conforme	0		
133	OrigamListSubheader	conforme	0		
134	OrigamLoader	conforme	0		
135	OrigamMain	conforme	0		
136	OrigamMasonry	conforme	0		
137	OrigamMediaController	conforme	0		
138	OrigamMediaScrubber	conforme	0		
139	OrigamMediaVolumeControl	conforme	0		
140	OrigamMenu	conforme	0		
141	OrigamMessages	conforme	0		
142	OrigamNumberField	conforme	0		
143	OrigamNumberFormat	conforme	0		
144	OrigamOtpInputField	conforme	0		
145	OrigamOverlay	conforme	0		
146	OrigamOverlayScrim	conforme	0		
147	OrigamPagination	conforme	0		
148	OrigamParallax	conforme	0		
149	OrigamParallaxElement	conforme	0		
150	OrigamParallaxLayer	conforme	0		
151	OrigamPasswordField	conforme	0		
152	OrigamPicker	conforme	0		
153	OrigamPickerTitle	conforme	0		
154	OrigamProgress	conforme	0		
155	OrigamProgressCircular	conforme	0		
156	OrigamProgressLinear	conforme	0		
157	OrigamQrCode	conforme	0		
158	OrigamRadio	conforme	0		
159	OrigamRadioBtn	conforme	0		
160	OrigamRadioGroup	conforme	0		
161	OrigamRatingField	conforme	0		
162	OrigamRatingFieldItem	conforme	0		
163	OrigamResponsive	conforme	0		
164	OrigamSelect	conforme	0		
165	OrigamSelectionControl	conforme	0		
166	OrigamSelectionControlGroup	conforme	0		
167	OrigamSheet	conforme	0		
168	OrigamSkeleton	conforme	0		
169	OrigamSlideGroup	conforme	0		
170	OrigamSliderField	conforme	0		
171	OrigamSliderFieldTrack	conforme	0		
172	OrigamSnackbar	conforme	0		
173	OrigamSnackbarGroup	conforme	0		
174	OrigamSnackbarItem	conforme	0		
175	OrigamStepper	conforme	0		
176	OrigamStepperItem	conforme	0		
177	OrigamSwitch	conforme	0		
178	OrigamSwitchTrack	conforme	0		
179	OrigamSystemBar	conforme	0		
180	OrigamTable	conforme	0		
181	OrigamTab	conforme	0		
182	OrigamTabPanel	conforme	0		
183	OrigamTabPanels	conforme	0		
184	OrigamTabs	conforme	0		
185	OrigamTextField	conforme	0		
186	OrigamTextMask	conforme	0		
187	OrigamTextareaField	conforme	0		
188	OrigamTextareaFieldRichToolbar	conforme	0		
189	OrigamThemeProvider	conforme	0		
190	OrigamTimeline	conforme	0		
191	OrigamTimelineItem	conforme	0		
192	OrigamTitle	conforme	0		
193	OrigamToolbar	conforme	0		
194	OrigamTooltip	conforme	0		
195	OrigamExpandX	conforme	0		
196	OrigamExpandY	conforme	0		
197	OrigamFade	conforme	0		
198	OrigamReverseTranslatePicker	conforme	0		
199	OrigamScaleRotate	conforme	0		
200	OrigamSlideX	conforme	0		
201	OrigamSlideY	conforme	0		
202	OrigamSnack	conforme	0		
203	OrigamTransition	conforme	0		
204	OrigamTranslateBottom	conforme	0		
205	OrigamTranslatePicker	conforme	0		
206	OrigamTranslateScale	conforme	0		
207	OrigamWindowXReverseTranslate	conforme	0		
208	OrigamWindowXTranslate	conforme	0		
209	OrigamWindowYReverseTranslate	conforme	0		
210	OrigamWindowYTranslate	conforme	0		
211	OrigamTreeview	defaut	1	bound-literal-attr	l.7: :aria-label="ariaLabel || 'File tree'"
212	OrigamTreeviewNode	defaut	1	bound-literal-attr	l.74: :aria-label="`${node.label} contents`"
213	OrigamVideo	conforme	0		
214	OrigamVirtualScroll	conforme	0		
215	OrigamVirtualScrollItem	conforme	0		
216	OrigamWatermark	conforme	0		
217	OrigamWindow	conforme	0		
218	OrigamWindowItem	conforme	0		
